epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,18029.2,0.77081,0.735,1.01646,0.8657,0.61884,0.69782,0.53853,0.71923,0.68225,1.00041,0.00144161,0.00144161,0.00144161
78,18288.5,0.7648,0.73173,1.01128,0.85581,0.6034,0.69587,0.53333,0.72003,0.6876,1.0048,0.00133695,0.00133695,0.00133695
79,18529.1,0.76449,0.71863,1.0148,0.86898,0.62338,0.69913,0.53193,0.72217,0.68862,1.00037,0.00123596,0.00123596,0.00123596
80,18783.5,0.74943,0.70142,1.0081,0.92681,0.57537,0.69503,0.53576,0.71147,0.68203,0.99645,0.00113873,0.00113873,0.00113873
81,19030.9,0.75523,0.7065,1.00109,0.86099,0.60066,0.69652,0.53374,0.722,0.68899,1.0006,0.00104537,0.00104537,0.00104537
82,19526.4,0.74925,0.7143,1.00276,0.89929,0.58242,0.69587,0.53681,0.71655,0.68472,0.99703,0.000955951,0.000955951,0.000955951
83,19874.2,0.75639,0.70898,1.00558,0.91849,0.58979,0.70487,0.53785,0.72317,0.67677,1.00399,0.000870577,0.000870577,0.000870577
84,20332.1,0.7291,0.68006,0.9948,0.88274,0.60934,0.70803,0.54217,0.71433,0.67057,0.99251,0.000789327,0.000789327,0.000789327
85,20785,0.71952,0.68203,0.99754,0.84935,0.62512,0.70607,0.54318,0.70427,0.66902,0.98701,0.000712282,0.000712282,0.000712282
86,21223.8,0.7408,0.69367,1.00121,0.8619,0.61861,0.70761,0.5431,0.69665,0.66297,0.98259,0.000639518,0.000639518,0.000639518
87,21771.2,0.71783,0.6795,0.9902,0.86859,0.60711,0.70643,0.54385,0.70355,0.66221,0.98549,0.000571106,0.000571106,0.000571106
88,22160.9,0.72576,0.68443,0.98873,0.85915,0.62686,0.70763,0.54451,0.69998,0.66158,0.98898,0.000507115,0.000507115,0.000507115
89,23997.4,0.7092,0.67052,0.99127,0.82873,0.63698,0.70845,0.54703,0.69578,0.65075,0.98389,0.000447606,0.000447606,0.000447606
90,50236.4,0.70966,0.66734,0.98914,0.9002,0.61455,0.7138,0.5524,0.691,0.64074,0.98349,0.00039264,0.00039264,0.00039264
91,50728.5,0.62988,0.58953,0.92631,0.89666,0.61418,0.70566,0.53898,0.7131,0.68311,0.98943,0.00034227,0.00034227,0.00034227
92,51144.3,0.61981,0.56853,0.92603,0.87204,0.63242,0.71016,0.54037,0.70309,0.65402,0.98249,0.000296546,0.000296546,0.000296546
93,51441.7,0.62253,0.55815,0.92545,0.86291,0.62655,0.7093,0.54228,0.69905,0.6652,0.98505,0.000255513,0.000255513,0.000255513
94,51631.4,0.61808,0.55616,0.92124,0.92408,0.59524,0.70955,0.54592,0.70048,0.67202,0.98273,0.000219212,0.000219212,0.000219212
95,51816.4,0.61902,0.55763,0.92077,0.88405,0.62427,0.71261,0.54763,0.69901,0.66395,0.9839,0.000187678,0.000187678,0.000187678
96,52436.1,0.60431,0.54239,0.91893,0.88709,0.61093,0.70952,0.54796,0.70375,0.67378,0.98523,0.000160943,0.000160943,0.000160943
97,52490.9,0.60176,0.53953,0.9186,0.8852,0.61856,0.71098,0.54713,0.69994,0.66891,0.98467,0.000139032,0.000139032,0.000139032
98,52607.5,0.60018,0.53814,0.91747,0.91244,0.61411,0.71563,0.54697,0.70066,0.66267,0.98612,0.000121968,0.000121968,0.000121968
99,52751,0.59847,0.53108,0.91468,0.87766,0.62944,0.71453,0.54753,0.70017,0.66868,0.98454,0.000109768,0.000109768,0.000109768
100,52988.1,0.5992,0.53601,0.91675,0.88158,0.62408,0.71474,0.54883,0.69622,0.66051,0.98168,0.000102443,0.000102443,0.000102443
